time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2025-07-09 00:00:00,0.17094,0.18661,0.16991,0.18053,1188196945.0,1752105599999,209208452.04026000,956099,590105798.00000000,104093500.43508000,0
2025-07-10 00:00:00,0.18053,0.19641,0.17874,0.19507,1146142109.0,1752191999999,212625646.90915000,1040881,556783161.00000000,103484891.84621000,0
2025-07-11 00:00:00,0.19508,0.21366,0.19115,0.20103,2460231517.0,1752278399999,498563890.68926000,2282243,1214130630.00000000,246186692.35141000,0
2025-07-12 00:00:00,0.20103,0.20654,0.1919,0.19742,940327860.0,1752364799999,186848469.34616000,1096622,430418344.00000000,85559209.98115000,0
2025-07-13 00:00:00,0.19741,0.20412,0.19576,0.19855,820805906.0,1752451199999,163802067.08440000,986034,398190665.00000000,79507368.02680000,0
2025-07-14 00:00:00,0.19855,0.21097,0.19464,0.19749,1622802447.0,1752537599999,330347085.43806000,1600771,804996178.00000000,163925050.82688000,0
2025-07-15 00:00:00,0.19748,0.19934,0.18842,0.19919,1313854511.0,1752623999999,253628308.24066000,1435520,656674402.00000000,126759570.93887000,0
2025-07-16 00:00:00,0.1992,0.22073,0.19553,0.2127,1785566132.0,1752710399999,368001986.87784000,1641646,882334416.00000000,181825307.72367000,0
2025-07-17 00:00:00,0.21269,0.22236,0.2066,0.21826,2133077927.0,1752796799999,455996121.20446000,2766474,1074151852.00000000,229759832.37403000,0
2025-07-18 00:00:00,0.21826,0.2542,0.21618,0.2358,4213195060.0,1752883199999,1003528632.67305000,5075861,2106654219.00000000,501427898.01485000,0
2025-07-19 00:00:00,0.2358,0.25777,0.23558,0.24143,2332570036.0,1752969599999,576656743.32139000,3395448,1189157634.00000000,294124523.88978000,0
2025-07-20 00:00:00,0.24142,0.2783,0.23998,0.27375,3391965164.0,1753055999999,882595774.69651000,4360513,1696311641.00000000,441752365.71926000,0
2025-07-21 00:00:00,0.27375,0.2875,0.26428,0.27142,3119210733.0,1753142399999,856718613.92868000,4117679,1575078100.00000000,432862685.99328000,0
2025-07-22 00:00:00,0.27142,0.27492,0.25735,0.27093,2192290786.0,1753228799999,582380262.79653000,3292199,1047931735.00000000,278580318.15411000,0
2025-07-23 00:00:00,0.27094,0.27108,0.2305,0.24083,2256299182.0,1753315199999,561110090.39725000,3087294,1062806930.00000000,264503220.09571000,0
2025-07-24 00:00:00,0.24078,0.24665,0.22176,0.23218,2290016087.0,1753401599999,540995396.21605000,2737843,1140085974.00000000,269622810.78080000,0
2025-07-25 00:00:00,0.23219,0.23697,0.22085,0.23673,1957938127.0,1753487999999,446832437.42233000,1817403,937418083.00000000,214105660.57788000,0
2025-07-26 00:00:00,0.23673,0.24029,0.23296,0.23543,733863730.0,1753574399999,174064427.82114000,917292,355744001.00000000,84408229.95045000,0
2025-07-27 00:00:00,0.23544,0.24372,0.23432,0.24071,1038317435.0,1753660799999,247866861.56982000,1168179,491537152.00000000,117429921.05742000,0
2025-07-28 00:00:00,0.24071,0.24859,0.22426,0.22615,1620312126.0,1753747199999,384585889.28529000,1626873,766836712.00000000,182347676.00499000,0
2025-07-29 00:00:00,0.22616,0.23276,0.21744,0.22392,1192564427.0,1753833599999,268659829.49662000,1379363,581721130.00000000,131097842.15109000,0
