time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2026-02-02 08:00:00,0.1031,0.10626,0.10308,0.10491,244800690.0,1770033599999,25584177.08806000,261425,142208063.00000000,14866395.44441000,0
2026-02-02 12:00:00,0.1049,0.11056,0.1049,0.10954,288591992.0,1770047999999,31073837.27787000,384562,151680941.00000000,16339238.00156000,0
2026-02-02 16:00:00,0.10954,0.11,0.10733,0.10738,132630994.0,1770062399999,14408305.66026000,168837,55832184.00000000,6071044.67952000,0
2026-02-02 20:00:00,0.10737,0.10872,0.10704,0.10792,82307080.0,1770076799999,8885969.28145000,97551,40815163.00000000,4406264.86526000,0
2026-02-03 00:00:00,0.10791,0.10827,0.10555,0.10743,173649559.0,1770091199999,18512284.85562000,167434,74072698.00000000,7905627.02196000,0
2026-02-03 04:00:00,0.10743,0.10903,0.10607,0.10828,116395212.0,1770105599999,12503381.30244000,146327,56871627.00000000,6111999.02925000,0
2026-02-03 08:00:00,0.10829,0.10902,0.10645,0.10665,152445380.0,1770119999999,16403675.27768000,174743,79319897.00000000,8540615.45039000,0
2026-02-03 12:00:00,0.10666,0.11053,0.10546,0.11017,356699436.0,1770134399999,38478385.02655000,431524,191038990.00000000,20627319.14763000,0
2026-02-03 16:00:00,0.11018,0.1102,0.10226,0.10642,510427692.0,1770148799999,53765826.14791000,595307,238353598.00000000,25092144.28721000,0
2026-02-03 20:00:00,0.10641,0.11053,0.10523,0.10602,304725287.0,1770163199999,32934972.12851000,314693,159620709.00000000,17255461.53347000,0
2026-02-04 00:00:00,0.10602,0.10947,0.10553,0.10892,140203884.0,1770177599999,15091424.54016000,187933,83032606.00000000,8935924.25544000,0
2026-02-04 04:00:00,0.10892,0.10917,0.10733,0.10846,149986158.0,1770191999999,16242374.61441000,132908,70788806.00000000,7665945.21827000,0
2026-02-04 08:00:00,0.10847,0.10872,0.10637,0.10731,108679047.0,1770206399999,11682596.74721000,149514,49050668.00000000,5276960.28365000,0
2026-02-04 12:00:00,0.10731,0.10779,0.10276,0.10342,310144108.0,1770220799999,32662706.49641000,440378,142962860.00000000,15047351.73925000,0
2026-02-04 16:00:00,0.10343,0.10556,0.10142,0.10535,419156539.0,1770235199999,43221282.50439000,533486,207173585.00000000,21375799.40971000,0
2026-02-04 20:00:00,0.10535,0.10549,0.10127,0.10383,194711755.0,1770249599999,20166597.38192000,283874,94013960.00000000,9746184.81819000,0
2026-02-05 00:00:00,0.10383,0.10477,0.10221,0.1026,251384769.0,1770263999999,26006421.70205000,378053,129893907.00000000,13445286.26219000,0
2026-02-05 04:00:00,0.1026,0.10361,0.10065,0.10117,339737248.0,1770278399999,34654624.66232000,429660,151571393.00000000,15457880.36246000,0
2026-02-05 08:00:00,0.10118,0.10297,0.09736,0.09874,288128121.0,1770292799999,28804613.46988000,329700,125028586.00000000,12508795.23444000,0
2026-02-05 12:00:00,0.09875,0.10054,0.09265,0.09421,719851803.0,1770307199999,69294294.50897000,791938,337070558.00000000,32489508.01389000,0
2026-02-05 16:00:00,0.09421,0.09545,0.09048,0.09118,613074514.0,1770321599999,56902527.05898000,824505,295522977.00000000,27443866.01101000,0
2026-02-05 20:00:00,0.09118,0.09185,0.08675,0.08849,954639139.0,1770335999999,85217548.48620000,1029726,455664356.00000000,40697400.30991000,0
2026-02-06 00:00:00,0.08848,0.0914,0.08001,0.08989,1280136782.0,1770350399999,109589482.54418000,1351890,615647475.00000000,52789591.14149000,0
2026-02-06 04:00:00,0.08988,0.09352,0.0895,0.09071,333303066.0,1770364799999,30550629.12478000,376998,153480829.00000000,14068321.23990000,0
2026-02-06 08:00:00,0.09072,0.09431,0.09015,0.09371,255850513.0,1770379199999,23586404.72304000,284560,130157029.00000000,12012527.47504000,0
2026-02-06 12:00:00,0.0937,0.09694,0.09304,0.09643,344598545.0,1770393599999,32810532.23858000,488516,173938760.00000000,16573647.03887000,0
2026-02-06 16:00:00,0.09643,0.10211,0.09604,0.09878,513738804.0,1770407999999,51008842.98166000,513922,249224915.00000000,24740166.28132000,0
2026-02-06 20:00:00,0.09877,0.09982,0.09812,0.09848,166869066.0,1770422399999,16516506.08222000,184336,79028262.00000000,7824324.51522000,0
2026-02-07 00:00:00,0.09847,0.09901,0.09729,0.09863,153027489.0,1770436799999,15012926.78349000,214827,69805263.00000000,6851264.81906000,0
2026-02-07 04:00:00,0.09863,0.09923,0.09472,0.09585,291893458.0,1770451199999,28391889.39021000,327896,128646031.00000000,12514792.34902000,0
2026-02-07 08:00:00,0.09584,0.09631,0.09482,0.09547,142953412.0,1770465599999,13669188.60849000,165237,71511927.00000000,6837923.77962000,0
2026-02-07 12:00:00,0.09546,0.09774,0.09536,0.09683,229753633.0,1770479999999,22184398.39914000,221689,123793979.00000000,11964820.09725000,0
2026-02-07 16:00:00,0.09682,0.09948,0.09639,0.0984,574831686.0,1770494399999,56167550.32555000,413520,282925416.00000000,27654217.03244000,0
2026-02-07 20:00:00,0.0984,0.09893,0.09767,0.09823,56230783.0,1770508799999,5534669.89308000,76174,26252744.00000000,2584184.07651000,0
2026-02-08 00:00:00,0.09823,0.0985,0.0969,0.09699,52991347.0,1770523199999,5179377.76170000,86569,22437461.00000000,2193593.66243000,0
2026-02-08 04:00:00,0.09698,0.09762,0.09635,0.09687,54724138.0,1770537599999,5305698.39276000,66290,26235730.00000000,2544043.92468000,0
2026-02-08 08:00:00,0.09687,0.09881,0.0962,0.09844,146110481.0,1770551999999,14287946.29343000,196800,78952377.00000000,7722850.44495000,0
2026-02-08 12:00:00,0.09845,0.09862,0.09686,0.09734,115645007.0,1770566399999,11328073.79240000,148633,53830736.00000000,5274314.11456000,0
2026-02-08 16:00:00,0.09733,0.09796,0.0951,0.09771,112517445.0,1770580799999,10875317.98345000,160287,53144576.00000000,5137078.51208000,0
2026-02-08 20:00:00,0.09772,0.09902,0.09592,0.09663,134537022.0,1770595199999,13062115.93735000,185159,64046331.00000000,6225144.62787000,0
2026-02-09 00:00:00,0.09663,0.09748,0.09559,0.09715,118082259.0,1770609599999,11403676.61435000,174423,56415125.00000000,5448055.87615000,0
